Song,Album,Count,Alb-NY,MntCAN,TorCAN,MSG-NY,WshDC,Philly,Bos-MA,Chi-IL,Col-OH,KC-MO,SP-MN,EdmCAN,VanCAN,Ing-CA,LsV-NV,Controlled Danger - San Fran,Amsterdam,Amsterdam,Denmrk,Sweden,Norway,Denmrk,London 1,London 2,Controlled Danger - Atlanta,Alb-NM,Denv-CO,George-WA,Portlnd-OR,Pasa Rb-CA,Anaheim-CA,Bud Light Dive Bar: LA,Sac - CA,Mntn. View-CA,Ingwd-CA,Phnx-AZ,SanA-TX,Dal-TX,Woodlands-TX,Nshv-TN,NOrl-LA,Atl-GA,Sunrs-FL,Tampa-FL,Chrlt-NC,Ral-NC,Cmdn-NJ,Homl-NJ,Hartfd-CT,Srycs-NY,Wanta-NY,Controlled Danger - NYC,Bristw-VA,Cinn-OH,DarCntr-NY,Tornto-ON,CFalls-OH,Clrkstn-MI,TPark-IL,Nbsvil-IL,
Voodoo Child (Intro),COVER,3,,,,,,,,,,,,,,,,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,
Covered In Rain,AGT,3,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,FB,,,,,,,,,,,
Stitched Up,SINGLE,2,FB,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire On The Mountain,COVER,2,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heart of Life,C,2,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,
Passionfruit (Drake cover),COVER,2,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come When I Call,TRY,2,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,
Empty Arms (tease/combo),COVER,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
Half of My Heart,BS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,FB,,,,,,,,,,,,,,,,,,,,
Promised Land,COVER,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper Doll,PV,1,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercy w/Shawn Mendes,COVER,1,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheel,HT,1,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny B Goode,COVER,1,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll It On Home,COVER,1,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quiet (20 secs),IWO,1,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come Pick Me Up [Ryan Adams],COVER,1,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something's Missing (tease),HT,1,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come Back to Bed,HT,1,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Lights Big City,COVER,1,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Will Be Found (Lost at Sea),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Be With You/More Than Words,COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Love (Snippet),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neither One of Us (David Ryan Harris),COVER,1,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On & On (Erykah Badu Cover w/ Alessia Cara),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stay (w/ Alessia Cara singing),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Patrick's Day,RFS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man On The Side,IWO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knocking On Heaven's Door,COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Stupid Mouth (teaser),RFS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leather and Lace (Stevie Nicks),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
They Love Each Other (Grateful Dead cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations (Post Malone Cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll Roll Roll (Jimmie Vaughan cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
Gentle On My Mind (Glen Campbell cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,
Walking On The Moon (The Police cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,
Pretty Girl (David Ryan Harris Cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,
Big Shirt,UNREL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,
(Sittin' On) The Dock of the Bay (Otis Redding),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,
83,RFS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,
Back To You,RFS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,
Victoria,IWO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,
Home Sweet Home (Motley Crue cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,,,,
I'm On Fire (Bruce Springsteen Cover),COVER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,
Jam?,JAM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,
Tracing,ASIS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,
Simple Song,UNREL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Songs:,,105,20,21,20,21,21,20,19,19,21,19,21,20,21,22,21,6,21,20,21,22,19,20,20,22,6,19,19,20,22,16,19,17,21,24,20,20,20,20,19,20,22,19,21,21,21,22,21,22,19,20,20,5,19,21,18,20,19,20,20,21,0
